 ,Open,High,Low,Close,Volume,OpenInt
2008-10-21,10428.11035,10750.2002,10250.23047,10683.38965,45800,0
2008-10-22,10455.23047,10484.84961,10128.21973,10169.90039,33400,0
2008-10-23,9683.259766,10260.54981,9682.400391,9771.700195,41000,0
2008-10-24,9497.480469,9570.709961,8566.820313,8701.070313,63600,0
2008-10-27,8588.860352,8739.480469,7697.390137,8509.55957,55400,0
2008-10-29,9297.759766,9297.759766,8894.339844,9044.509766,55000,0
2008-10-31,9361.660156,9870.419922,9361.660156,9788.05957,57200,0
2008-11-03,10209.37012,10373.16992,10112.66016,10337.67969,44800,0
2008-11-04,10304.57031,10668.48047,10116.21973,10631.12012,51000,0
2008-11-05,10931.16992,10945.41016,10051.51953,10120.00977,53400,0
2008-11-06,9755.030273,10109.4502,9635.219727,9734.219727,49400,0
2008-11-07,9631.589844,10065.37012,9631.589844,9964.290039,42000,0
2008-11-10,10154.55957,10570.58008,10095.90039,10536.16016,45400,0
2008-11-11,10386.4502,10397.36035,9800.669922,9839.69043,63600,0
2008-11-12,9683.75,9928.599609,9376.730469,9536.330078,52400,0
2008-11-14,9784.849609,9826.25,9267.490234,9385.419922,46200,0
2008-11-17,9396.929688,9424.25,8956.679688,9291.009766,41800,0
2008-11-18,9084.120117,9169.049805,8871.709961,8937.200195,41000,0
2008-11-19,8970.669922,9236.269531,8726.799805,8773.780273,42600,0
2008-11-20,8400.879883,8540.459961,8316.389648,8451.009766,40000,0
2008-11-21,8481.019531,8988.030273,8442.30957,8915.209961,59200,0
2008-11-24,8840.530273,9042.019531,8701.929688,8903.120117,43800,0
2008-11-25,9170.280273,9182.799805,8649.400391,8695.530273,41600,0
2008-11-26,8806.019531,9061.719727,8658.530273,9026.719727,44600,0
2008-11-27,null,null,null,null,null,0
2008-11-28,8889.179688,9157.620117,8889.179688,9092.719727,34000,0
2008-12-01,9162.94043,9326.679688,8803.339844,8839.870117,45200,0
2008-12-02,8535.830078,8785.040039,8467.429688,8739.240234,41000,0
2008-12-03,8851.219727,8854.80957,8601.410156,8747.429688,52400,0
2008-12-04,8779.019531,9245.05957,8726.709961,9229.75,55200,0
2008-12-05,9172.580078,9340.69043,8914.379883,8965.200195,53000,0
2008-12-08,9276.889648,9432.110352,9095.700195,9162.620117,50200,0
2008-12-10,9349.530273,9678.700195,9280.160156,9654.900391,65000,0
2008-12-11,9679.320313,9746.009766,9441.969727,9645.459961,68800,0
2008-12-12,9370.870117,9745.509766,9281.889648,9690.070313,6400,0
2008-12-15,9821.849609,9948.330078,9749.290039,9832.389648,47000,0
2008-12-16,9794.480469,10009.20996,9790.30957,9976.980469,41000,0
2008-12-17,10073.09961,10073.09961,9682.910156,9715.290039,75800,0
2008-12-18,9710.200195,10110.33984,9633.040039,10076.42969,69200,0
2008-12-19,10001.33008,10188.54004,9987.419922,10099.91016,59600,0
2008-12-22,10102.41992,10173.33984,9895.549805,9928.349609,39000,0
2008-12-23,9813.200195,9838.379883,9643.55957,9686.75,52600,0
2008-12-24,9626.070313,9653.419922,9502.530273,9568.719727,68800,0
2008-12-26,9655.070313,9706.379883,9294.980469,9328.919922,43000,0
2008-12-29,9318.860352,9550.400391,9162.660156,9533.519531,65800,0
2008-12-30,9625.129883,9785.040039,9494.700195,9716.160156,56600,0
2008-12-31,9806.639648,9825.900391,9587.919922,9647.30957,63800,0
2009-01-02,9973.05957,10070.28027,9863.860352,9958.219727,51600,0
2009-01-05,10124.91992,10306.16992,10069.11035,10275.59961,51200,0
2009-01-06,10241.50977,10392.12012,10150.67969,10335.92969,55600,0
2009-01-07,10424.95996,10469.71973,9510.150391,9586.879883,217600,0
2009-01-09,9434.849609,9630.400391,9250.820313,9406.469727,158200,0
2009-01-12,9306.740234,9327.299805,9024.450195,9110.049805,98000,0
2009-01-13,9042.360352,9261,8992.919922,9071.360352,45200,0
2009-01-14,9223.160156,9412.969727,9071.360352,9370.490234,32000,0
2009-01-15,9000.620117,9123.780273,8946.620117,9046.740234,37600,0
2009-01-16,9125.650391,9342.469727,9125.650391,9323.589844,35400,0
2009-01-19,9365.040039,9409.509766,9273.469727,9329.570313,30000,0
2009-01-20,9159.759766,9159.759766,9033.549805,9100.549805,31200,0
2009-01-21,8900.780273,9051.30957,8734.929688,8779.169922,32400,0
2009-01-22,8905.969727,8927.69043,8699.320313,8813.839844,39200,0
2009-01-23,8804.150391,8858.839844,8631.599609,8674.349609,44000,0
